ID,Domain,Sub-Domain,Topic Area,Question Text,Choice A,Choice B,Choice C,Choice D,Choice E,Choice F,Choice G,Choice H,Choice I,Choice J,Choice K,Choice L,Choice N,Choice N,Correct Answer(s)
1276,,,,"Before implementing an internet-facing router, a network administrator ensures that the equipment is baselined/hardened according to approved configurations and settings. This action provides protection against which of the following attacks?",Blind spoofing,Media Access Control (MAC) flooding,SQL injection (SQLI),Ransomware,,,,,,,,,,,B
1277,,,,Which of the following terms BEST describes a system which allows a user to log in and access multiple related servers and applications?,Remote Desktop Protocol (RDP),Federated identity management (FIM),Single sign-on (SSO),Multi-factor authentication (MFA),,,,,,,,,,,B
1278,,,,What is the MINIMUM standard for testing a disaster recovery plan (DRP)?,Semi-annually and in alignment with a fiscal half-year business cycle,Annually or less frequently depending upon audit department requirements,Quarterly or more frequently depending upon the advice of the information security manager,As often as necessary depending upon the stability of the environment and business requirements,,,,,,,,,,,D
1279,,,,Which type of disaster recovery plan (DRP) testing carries the MOST operational risk?,Cutover,Walkthrough,Tabletop,Parallel,,,,,,,,,,,C
1280,,,,"If the wide area network (WAN) is supporting converged applications like Voice over Internet Protocol (VoIP), which of the following becomes even MORE essential to the assurance of network?",Classless Inter-Domain Routing (CIDR),Deterministic routing,Internet Protocol (IP) routing lookups,Boundary routing,,,,,,,,,,,C
1281,,,,A colleague who recently left the organization asked a security professional for a copy of the organization's confidential incident management policy. Which of the following is the BEST response to this request?,Email the policy to the colleague as they were already part of the organization and familiar with it.,Do not acknowledge receiving the request from the former colleague and ignore them.,Access the policy on a company-issued device and let the former colleague view the screen.,Submit the request using company official channels to ensure the policy is okay to distribute.,,,,,,,,,,,B
1282,,,,Which of the following is the MAIN difference between a network-based firewall and a host-based firewall?,"A network-based firewall is stateful, while a host-based firewall is stateless.","A network-based firewall controls traffic passing through the device, while a host-based firewall controls traffic destined for the device.","A network-based firewall verifies network traffic, while a host-based firewall verifies processes and applications.","A network-based firewall blocks network intrusions, while a host-based firewall blocks malware.",,,,,,,,,,,B
1283,,,,Which of the following would need to be configured to ensure a device with a specific MAC address is always assigned the same IP address from DHCP?,Scope options,Reservation,Dynamic assignment,Exclusion,Static assignment,,,,,,,,,,B
1284,,,,"In software development, which of the following entities normally signs the code to protect the code integrity?",The organization developing the code,The quality control group,The data owner,The developer,,,,,,,,,,,B
1285,,,,Which of the following is the BEST way to determine the success of a patch management process?,Analysis and impact assessment,Auditing and assessment,Configuration management (CM),Change management,,,,,,,,,,,A
1286,,,,"Which of the following departments initiates the request, approval, and provisioning business process?",Operations,Human resources (HR),Information technology (IT),Security,,,,,,,,,,,A
1287,,,,Which one of the following BEST protects vendor accounts that are used for emergency maintenance?,Encryption of routing tables,Vendor access should be disabled until needed,Role-based access control (RBAC),Frequent monitoring of vendor access,,,,,,,,,,,B
1288,,,,"The existence of physical barriers, card and personal identification number (PIN) access systems, cameras, alarms, and security guards BEST describes this security approach?",Security information and event management (SIEM),Security perimeter,Defense-in-depth,Access control,,,,,,,,,,,B
